"kingdom","phylum","class","order","family","genus","species","AphiaID","env","input"
"Animalia","Chordata","Teleostei","Anguilliformes","Ophichthidae","Apterichtus","Apterichtus ansp",158597,"Marine","Apterichtus ansp"
"Animalia","Chordata","Teleostei","Anguilliformes","Ophichthidae","Bascanichthys","Bascanichthys bascanium",158600,"Marine","Bascanichthys bascanium"
"Animalia","Chordata","Teleostei","Anguilliformes","Ophichthidae","Callechelys","Callechelys muraena",158604,"Marine","Callechelys muraena"
"Animalia","Chordata","Teleostei","Anguilliformes","Ophichthidae","Gordiichthys","Gordiichthys irretitus",275479,"Marine","Gordiichthys irretitus"
"Animalia","Chordata","Teleostei","Anguilliformes","Ophichthidae","Gordiichthys","Gordiichthys leibyi",158620,"Marine","Gordiichthys leibyi"
"Animalia","Chordata","Teleostei","Anguilliformes","Ophichthidae","Letharchus","Letharchus aliculatus",275481,"Marine","Letharchus aliculatus"
"Animalia","Chordata","Teleostei","Anguilliformes","Ophichthidae","Myrichthys","Myrichthys breviceps",158637,"Marine","Myrichthys breviceps"
"Animalia","Chordata","Teleostei","Anguilliformes","Ophichthidae","Myrophis","Myrophis platyrhynchus",158642,"Marine-Brackish","Myrophis platyrhynchus"
"Animalia","Chordata","Teleostei","Anguilliformes","Ophichthidae","Myrophis","Myrophis punctatus",158643,"Marine-Brackish","Myrophis punctatus"
"Animalia","Chordata","Teleostei","Anguilliformes","Ophichthidae","Ophichthus","Ophichthus cruentifer",158644,"Marine","Ophichthus cruentifer"
"Animalia","Chordata","Teleostei","Anguilliformes","Ophichthidae","Ophichthus","Ophichthus gomesii",271955,"Marine","Ophichthus gomesii"
"Animalia","Chordata","Teleostei","Anguilliformes","Ophichthidae","Ophichthus","Ophichthus puncticeps",158646,"Marine","Ophichthus puncticeps"
"Animalia","Chordata","Teleostei","Anguilliformes","Serrivomeridae","Serrivomer","Serrivomer beanii",126319,"Marine","Serrivomer beanii"
"Animalia","Chordata","Teleostei","Anguilliformes","Serrivomeridae","Serrivomer","Serrivomer lanceolatoides",126320,"Marine","Serrivomer brevidentatus"
"Animalia","Chordata","Teleostei","Anguilliformes","Serrivomeridae","Serrivomer","Serrivomer jesperseni",272002,"Marine","Serrivomer jesperseni"
"Animalia","Chordata","Teleostei","Anguilliformes","Serrivomeridae","Serrivomer","Serrivomer lanceolatoides",126320,"Marine","Serrivomer lanceolatoides"
"Animalia","Chordata","Teleostei","Anguilliformes","Serrivomeridae","Serrivomer","Serrivomer beanii",126319,"Marine","Serrivomer parabeani"
"Animalia","Chordata","Teleostei","Anguilliformes","Synaphobranchidae","Histiobranchus","Histiobranchus bathybius",126323,"Marine","Histiobranchus bathybius"
"Animalia","Chordata","Teleostei","Anguilliformes","Synaphobranchidae","Ilyophis","Ilyophis brunneus",126326,"Marine","Ilyophis brunneus"
"Animalia","Chordata","Teleostei","Anguilliformes","Synaphobranchidae","Simenchelys","Simenchelys parasitica",126327,"Marine","Simenchelys parasitica"
"Animalia","Chordata","Teleostei","Anguilliformes","Synaphobranchidae","Synaphobranchus","Synaphobranchus affinis",158665,"Marine","Synaphobranchus affinis"
"Animalia","Chordata","Teleostei","Anguilliformes","Synaphobranchidae","Synaphobranchus","Synaphobranchus kaupii",126328,"Marine","Synaphobranchus kaupii"
"Animalia","Chordata","Teleostei","Anguilliformes","Synaphobranchidae","Synaphobranchus","Synaphobranchus pinnatus",298328,"Marine","Synaphobranchus pinnatus"
"Animalia","Chordata","Teleostei","Argentiniformes","Bathylagidae","Bathylagoides","Bathylagoides nigrigenys",712443,"Marine","Bathylagoides nigrigenys"
"Animalia","Chordata","Teleostei","Argentiniformes","Bathylagidae","Leuroglossus","Leuroglossus stilbius",313514,"Marine","Leuroglossus stilbius"
"Animalia","Chordata","Teleostei","Atheriniformes","Atherinidae","Atherinops","Atherinops affinis",279812,"Marine-Brackish","Atherinops affinis"
"Animalia","Chordata","Teleostei","Atheriniformes","Atherinopsidae","Labidesthes","Labidesthes sicculus",422550,"Freshwater","Labidesthes sicculus"
"Animalia","Chordata","Teleostei","Atheriniformes","Atherinopsidae","Menidia","Menidia menidia",159228,"Marine-Brackish","Menidia menidia"
"Animalia","Chordata","Teleostei","Aulopiformes","Alepisauridae","Alepisaurus","Alepisaurus brevirostris",126332,"Marine","Alepisaurus brevirostris"
"Animalia","Chordata","Teleostei","Aulopiformes","Alepisauridae","Alepisaurus","Alepisaurus ferox",126333,"Marine","Alepisaurus ferox"
"Animalia","Chordata","Teleostei","Aulopiformes","Anotopteridae","Anotopterus","Anotopterus nikparini",272040,"Marine","Anotopterus nikparini"
"Animalia","Chordata","Teleostei","Aulopiformes","Anotopteridae","Anotopterus","Anotopterus pharao",126334,"Marine","Anotopterus pharao"
"Animalia","Chordata","Teleostei","Aulopiformes","Chlorophthalmidae","Chlorophthalmus","Chlorophthalmus agassizi",126336,"Marine-Brackish","Chlorophthalmus agassizi"
"Animalia","Chordata","Teleostei","Aulopiformes","Chlorophthalmidae","Parasudis","Parasudis truculenta",158868,"Marine","Parasudis truculenta"
"Animalia","Chordata","Teleostei","Aulopiformes","Evermannellidae","Coccorella","Coccorella atlantica",126337,"Marine","Coccorella atlantica"
"Animalia","Chordata","Teleostei","Aulopiformes","Evermannellidae","Evermannella","Evermannella balbo",126338,"Marine","Evermannella balbo"
"Animalia","Chordata","Teleostei","Aulopiformes","Evermannellidae","Evermannella","Evermannella indica",126339,"Marine","Evermannella indica"
"Animalia","Chordata","Teleostei","Aulopiformes","Evermannellidae","Evermannella","Evermannella melanoderma",272065,"Marine","Evermannella melanoderma"
"Animalia","Chordata","Teleostei","Aulopiformes","Ipnopidae","Bathypterois","Bathypterois dubius",126342,"Marine","Bathypterois dubius"
"Animalia","Chordata","Teleostei","Aulopiformes","Ipnopidae","Bathypterois","Bathypterois grallator",126343,"Marine","Bathypterois grallator"
"Animalia","Chordata","Teleostei","Aulopiformes","Ipnopidae","Bathypterois","Bathypterois longifilis",158859,"Marine","Bathypterois longifilis"
"Animalia","Chordata","Teleostei","Aulopiformes","Ipnopidae","Bathypterois","Bathypterois longipes",126344,"Marine","Bathypterois longipes"
"Animalia","Chordata","Teleostei","Aulopiformes","Ipnopidae","Bathypterois","Bathypterois phenax",126345,"Marine","Bathypterois phenax"
"Animalia","Chordata","Teleostei","Aulopiformes","Ipnopidae","Bathypterois","Bathypterois quadrifilis",158862,"Marine","Bathypterois quadrifilis"
"Animalia","Chordata","Teleostei","Aulopiformes","Ipnopidae","Bathypterois","Bathypterois viridensis",272077,"Marine","Bathypterois viridensis"
