"kingdom","phylum","class","order","family","genus","species","AphiaID","env","input","dist","ocean","source","domain","inCanada"
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Anisarchus","Anisarchus medius",127070,"Marine","Anisarchus medius",0,"Atlantic-Arctic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Perciformes","Agonidae","Anoplagonus","Anoplagonus inermis",279630,"Marine","Anoplagonus inermis",0,"Pacific","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Anoplarchus","Anoplarchus insignis",279632,"Marine","Anoplarchus insignis",0,"Pacific","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Anoplarchus","Anoplarchus purpurescens",279633,"Marine","Anoplarchus purpurescens",0,"Pacific","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Trachichthyiformes","Anoplogastridae","Anoplogaster","Anoplogaster cornuta",126393,"Marine","Anoplogaster cornuta",0,"Atlantic-Arctic-Pacific","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Perciformes","Anoplopomatidae","Anoplopoma","Anoplopoma fimbria",159463,"Marine","Anoplopoma fimbria",0,"Arctic-Pacific","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Aulopiformes","Anotopteridae","Anotopterus","Anotopterus nikparini",272040,"Marine","Anotopterus nikparini",0,"Pacific","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Aulopiformes","Anotopteridae","Anotopterus","Anotopterus pharao",126334,"Marine","Anotopterus pharao",0,"Atlantic-Arctic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Perciformes","Serranidae","Anthias","Anthias nicholsi",159344,"Marine","Anthias nicholsi",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Acanthuriformes","Caproidae","Antigonia","Antigonia capros",127418,"Marine","Antigonia capros",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Acanthuriformes","Caproidae","Antigonia","Antigonia combatia",159429,"Marine","Antigonia combatia",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Gadiformes","Moridae","Antimora","Antimora microlepis",272460,"Marine","Antimora microlepis",0,"Atlantic-Pacific","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Gadiformes","Moridae","Antimora","Antimora rostrata",126486,"Marine","Antimora rostrata",0,"Atlantic-Arctic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Perciformes","Gasterosteidae","Apeltes","Apeltes quadracus",159436,"Marine-Freshwater-Brackish","Apeltes quadracus",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Scombriformes","Trichiuridae","Aphanopus","Aphanopus arigato",274008,"Marine","Aphanopus arigato",42.1015608052033,"Pacific","Org_CanFish","eez focused","outside"
"Animalia","Chordata","Teleostei","Scombriformes","Trichiuridae","Aphanopus","Aphanopus carbo",127085,"Marine","Aphanopus carbo",0,"Atlantic-Arctic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Scombriformes","Trichiuridae","Aphanopus","Aphanopus intermedius",159833,"Marine","Aphanopus intermedius",0,"Pacific","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Perciformes","Pholidae","Apodichthys","Apodichthys flavidus",279664,"Marine","Apodichthys flavidus",0,"Pacific","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Perciformes","Pholidae","Apodichthys","Apodichthys fucorum",279665,"Marine","Apodichthys fucorum",0.0378839557349254,"Pacific","Org_CanFish","eez focused","outside"
"Animalia","Chordata","Teleostei","Kurtiformes","Apogonidae","Apogon","Apogon maculatus",159589,"Marine","Apogon maculatus",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Kurtiformes","Apogonidae","Apogon","Apogon pseudomaculatus",159590,"Marine","Apogon pseudomaculatus",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Anguilliformes","Ophichthidae","Apterichtus","Apterichtus ansp",158597,"Marine","Apterichtus ansp",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Perciformes","Cyclopteridae","Aptocyclus","Aptocyclus ventricosus",254299,"Marine","Aptocyclus ventricosus",0,"Pacific","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Archosargus","Archosargus probatocephalus",159238,"Marine-Brackish","Archosargus probatocephalus",148.627781351923,"Atlantic","Org_CanFish","eez focused","outside"
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Arctogadus","Arctogadus glacialis",126432,"Marine","Arctogadus borisovi",0,"Atlantic-Arctic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Aulopiformes","Paralepididae","Arctozenus","Arctozenus risso",126352,"Marine","Arctozenus risso",0,"Atlantic-Arctic-Pacific","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Argentiniformes","Argentinidae","Argentina","Argentina silus",126715,"Marine","Argentina silus",0,"Atlantic-Arctic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Argentiniformes","Argentinidae","Argentina","Argentina striata",158718,"Marine","Argentina striata",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus aculeatus",127306,"Marine","Argyropelecus aculeatus",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus affinis",127307,"Marine","Argyropelecus affinis",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus gigas",127308,"Marine","Argyropelecus gigas",0,"Atlantic-Arctic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus hemigymnus",127309,"Marine","Argyropelecus hemigymnus",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus lychnus",158836,"Marine","Argyropelecus lychnus",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus olfersii",274967,"Marine","Argyropelecus olfersii",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus sladeni",158837,"Marine","Argyropelecus sladeni",0,"Atlantic-Pacific","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Scombriformes","Ariommatidae","Ariomma","Ariomma bondi",159592,"Marine","Ariomma bondi",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Scombriformes","Ariommatidae","Ariomma","Ariomma melana",403239,"Marine","Ariomma melanum",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Scombriformes","Ariommatidae","Ariomma","Ariomma regulus",159594,"Marine","Ariomma regulus",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Anguilliformes","Congridae","Ariosoma","Ariosoma anale",158565,"Marine","Ariosoma anale",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Anguilliformes","Congridae","Ariosoma","Ariosoma balearicum",126283,"Marine","Ariosoma balearicum",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Stomiiformes","Stomiidae","Aristostomias","Aristostomias grimaldii",127317,"Marine","Aristostomias grimaldii",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Stomiiformes","Stomiidae","Aristostomias","Aristostomias lunifer",127318,"Marine","Aristostomias lunifer",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Stomiiformes","Stomiidae","Aristostomias","Aristostomias polydactylus",158842,"Marine","Aristostomias polydactylus",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Stomiiformes","Stomiidae","Aristostomias","Aristostomias scintillans",275007,"Marine","Aristostomias scintillans",0,"Pacific","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Stomiiformes","Stomiidae","Aristostomias","Aristostomias tittmanni",127319,"Marine","Aristostomias tittmanni",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Pleuronectiformes","Bothidae","Arnoglossus","Arnoglossus thori",127128,"Marine","Arnoglossus thori",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Perciformes","Cottidae","Artediellus","Artediellus atlanticus",127193,"Marine","Artediellus atlanticus",0,"Atlantic-Arctic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Perciformes","Cottidae","Artediellus","Artediellus scaber",127194,"Marine-Brackish","Artediellus scaber",0,"Arctic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Perciformes","Cottidae","Artediellus","Artediellus uncinatus",127195,"Marine","Artediellus uncinatus",0,"Atlantic-Arctic","Org_CanFish","eez focused","inside"
